WeatherPy_Database.csv,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,Gambissara,13.2382,-14.3108,77.38,19,4,12.41,SN,2021-02-07 09:35:22
147,Xingyi,24.1877,102.817,50.16,92,100,2.3,CN,2021-02-07 09:35:22
148,Priladozhskiy,59.85,31.4833,14.0,48,100,10.83,RU,2021-02-07 09:35:22
149,Cidreira,-30.1811,-50.2056,67.19,79,0,10.89,BR,2021-02-07 09:32:00
150,Vardo,70.3705,31.1107,25.32,93,100,25.19,NO,2021-02-07 09:31:29
151,Ketchikan,55.3422,-131.6461,32.0,74,1,14.97,US,2021-02-07 09:32:27
152,Padang,-0.9492,100.3543,91.4,55,20,8.05,ID,2021-02-07 09:31:49
153,Olafsvik,64.8945,-23.7142,33.33,85,0,14.38,IS,2021-02-07 09:32:28
154,Vila Franca Do Campo,37.7167,-25.4333,60.01,94,75,24.16,PT,2021-02-07 09:31:38
155,Kampene,-3.6,26.6667,81.45,79,62,2.06,CD,2021-02-07 09:34:36
156,Saint-Pierre,-21.3393,55.4781,87.8,62,0,10.36,RE,2021-02-07 09:34:34
157,Kawalu,-7.3817,108.2082,75.85,88,96,1.48,ID,2021-02-07 09:35:23
158,Beaverlodge,55.2166,-119.4361,-41.8,66,75,5.75,CA,2021-02-07 09:35:24
159,Ulaangom,49.9811,92.0667,-1.28,91,95,0.74,MN,2021-02-07 09:35:24
160,Saint-Augustin,51.226,-58.6502,26.04,95,100,19.01,CA,2021-02-07 09:32:21
161,Coihaique,-45.5752,-72.0662,50.0,76,0,3.44,CL,2021-02-07 09:35:25
162,Qaanaaq,77.484,-69.3632,10.24,90,100,1.92,GL,2021-02-07 09:31:29
163,Gigmoto,13.7796,124.39,79.41,84,83,13.29,PH,2021-02-07 09:35:25
164,Katsuura,35.1333,140.3,53.6,82,40,5.75,JP,2021-02-07 09:32:27
165,Upernavik,72.7868,-56.1549,21.7,80,100,6.31,GL,2021-02-07 09:31:57
166,Norman Wells,65.282,-126.8329,-20.2,76,75,16.11,CA,2021-02-07 09:31:39
167,Acheng,45.5454,126.977,3.2,72,0,6.71,CN,2021-02-07 09:34:54
